CO_MUNICIP;CO_MUNICDV;CO_STATUS;DS_NOME;SG_UF;IN_CAPITAL;IN_AMAZLEG;IN_SEMIAR;IN_FRONTZN;DT_INSTAL;DT_EXTIN;CO_SUCESS;NU_LATITUD;NU_LONGIT;NU_ALTITUD;NU_AREA
261080;6;S;PEDRA;PE;N;N;S;N;1881;;;-84.970;-369.410;593;803
314890;5;S;PEDRA DO INDAIA;MG;N;N;N;N;1962;;;-202.580;-452.090;837;349
240950;6;S;PEDRA GRANDE;RN;N;N;S;N;1962;;;-51.500;-358.790;25;221
314910;1;S;PEDRALVA;MG;N;N;N;N;1884;;;-222.430;-454.660;911;217
292410;8;S;PEDRAO;BA;N;N;N;N;1962;;;-121.500;-386.500;230;172
210820;7;S;PEDREIRAS;MA;N;S;N;N;1889;;;-45.740;-445.970;0;288
314920;0;S;PEDRINOPOLIS;MG;N;N;N;N;1962;;;-192.280;-474.620;918;357
171650;5;S;PEDRO AFONSO;TO;N;S;N;N;1989;;;-89.680;-481.750;201;2010
240970;4;S;PEDRO AVELINO;RN;N;N;S;N;1948;;;-55.220;-363.880;95;952
500640;8;S;PEDRO GOMES;MS;N;N;N;N;1963;;;-181.010;-545.520;282;3651
314930;9;S;PEDRO LEOPOLDO;MG;N;N;N;N;1923;;;-196.180;-440.430;710;291
171660;4;S;PEIXE;TO;N;S;N;N;1989;;;-120.250;-485.390;240;5291
353730;5;S;PENAPOLIS;SP;N;N;N;N;1913;;;-214.200;-500.780;416;708
314950;7;S;PEQUERI;MG;N;N;N;N;1953;;;-218.340;-431.210;571;90
353750;3;S;PEREIRAS;SP;N;N;N;N;1889;;;-230.760;-479.760;490;222
411890;7;S;PEROLA;PR;N;N;N;S;1966;;;-238.050;-536.840;440;240
330120;7;S;CARMO;RJ;N;N;N;N;1881;;;-219.340;-426.090;347;321
311430;3;S;CARMO DO PARANAIBA;MG;N;N;N;N;1873;;;-190.010;-463.160;1061;1307
520500;0;S;CARMO DO RIO VERDE;GO;N;N;N;N;1952;;;-153.540;-497.080;629;455
311450;1;S;CARMOPOLIS DE MINAS;MG;N;N;N;N;1948;;;-205.410;-446.350;903;400
240240;2;S;CARNAUBA DOS DANTAS;RN;N;N;S;N;1953;;;-65.560;-365.950;306;245
270180;3;S;CARNEIROS;AL;N;N;S;N;1962;;;-94.830;-373.770;347;113
250410;8;S;CARRAPATEIRA;PB;N;N;S;N;1961;;;-70.390;-383.440;372;72
311490;7;S;CASA GRANDE;MG;N;N;N;N;1962;;;-207.930;-439.300;972;157
170390;9;S;CASEARA;TO;N;S;N;N;1989;;;-92.780;-499.560;174;1691
311510;2;S;CASSIA;MG;N;N;N;N;1890;;;-205.830;-469.220;738;643
520505;9;S;CASTELANDIA;GO;N;N;N;N;1993;;;-180.910;-502.010;442;297
